indice,vecteur
61,0.7382706 0.0625046 0.033136275 0.066954814 0.008032097 0.004822359 0.00066675706 0.0087763835 0.20886552 0.052410204 0.03940069 0.090803005 0.44961134 0.081809536 0.00023258966 3.1011954e-05 0.13629754 0.06852092 0.140081 0.3211598 0.10404511 0.15305951 0.0 0.0
62,0.7154045 0.15760238 0.03384615 0.039906755 0.005567765 0.004435564 0.0004528804 0.006633366 0.22552112 0.06480186 0.0409324 0.097329326 0.41005656 0.12454211 0.0006660006 0.0 0.17301364 0.075950705 0.16630036 0.3578288 0.11846819 0.0722877 0.0 0.0
70,0.7209186 0.027596073 0.0010196404 0.03902591 0.1765129 0.0033385 0.0011183153 0.009587908 0.22805408 0.031937767 0.106124826 0.3587983 0.21474941 0.038499646 0.0009538571 0.0 0.065717466 0.061046854 0.1001221 0.22718245 0.30760247 0.2040103 0.013436228 0.0
71,0.7352227 0.03743943 0.0024665259 0.045250095 0.15216334 0.0042935824 0.00056334236 0.012637139 0.22253546 0.04607227 0.10484258 0.3425274 0.23489854 0.03836818 0.00079172436 0.0 0.1032439 0.07289954 0.11240964 0.23677127 0.27676857 0.18648155 0.001461645 0.0
72,0.71253103 0.06041542 0.019835517 0.08989235 0.122808255 0.0064603603 0.0012404874 0.012625951 0.2728581 0.06034173 0.09217681 0.3265061 0.2364418 0.036404006 0.0010808207 0.0 0.13814853 0.071260475 0.12499446 0.26321667 0.29795033 0.12891243 0.0013264618 0.0
73,0.72462803 0.068787925 0.026884591 0.04577576 0.13151863 0.00605721 0.00129517 0.013409589 0.24438159 0.06778057 0.112575136 0.34959126 0.20847006 0.034616366 0.0009419419 0.0 0.13787675 0.07118203 0.11561029 0.26009372 0.28508133 0.13981296 0.00869988 0.0
80,0.6885888 0.027962917 0.0041623595 0.07532932 0.16629095 0.0038337521 0.0011735975 0.010656266 0.2710541 0.04157665 0.052248564 0.17835553 0.39262316 0.041467115 0.00067286263 0.0 0.061872065 0.053641234 0.14990753 0.3713732 0.18891792 0.15228602 0.0 0.0
81,0.6993407 0.02984186 0.008080033 0.055299096 0.1849169 0.00824134 0.00073321525 0.0124939885 0.25731456 0.040180195 0.049741324 0.20384851 0.38027477 0.065652095 0.0019356883 0.0 0.07578513 0.07352683 0.17849393 0.3349474 0.16878615 0.1674077 0.0 0.0
90,0.76848567 0.11210097 0.0077855433 0.002388046 0.0048780697 0.0021848236 0.00045926782 0.0072829896 0.19633259 0.16163732 0.11564892 0.40510282 0.025732936 0.0008620442 0.00020248868 4.6220244e-05 0.0018091924 0.066563755 0.06686455 0.14414553 0.16476344 0.2472651 0.187685 0.026468793
91,0.7767552 0.10737991 0.0013970946 0.00022837956 0.0009783987 0.0021436536 0.0004308069 0.008945731 0.2020761 0.14686017 0.11114212 0.4059559 0.030134855 0.0015484826 0.0002768237 0.00026471267 0.0065970547 0.06676901 0.06173601 0.1413782 0.16374122 0.22502999 0.19289163 0.04011608
92,0.7994899 0.0015667442 3.765835e-05 0.00076964253 0.0067671267 0.0022018366 0.00020202136 0.0035155637 0.0037179773 0.02300533 0.30382755 0.40550315 0.06426476 0.008773219 0.0026121556 0.0028463434 0.034743357 0.026978284 0.08737953 0.15001518 0.14014123 0.10550693 0.1337295 0.13605648
93,0.7083763 0.11700384 0.029813785 0.06861139 0.008848181 0.000391229 0.00024051478 0.005996542 0.23630232 0.025414186 0.109635174 0.5101425 0.032292407 0.01805682 0.0058094054 0.0016289696 0.032531038 0.04824739 0.071679056 0.11406994 0.15360981 0.19667955 0.24135877 0.08110623
94,0.6684496 0.10646793 0.0249628 0.062795006 0.07758214 0.019154271 0.0012977552 0.012933797 0.27967778 0.03934295 0.113634475 0.52266675 0.017499056 0.00043506167 0.00012465715 0.00026252298 0.037498683 0.049578045 0.06875378 0.12729888 0.14165343 0.2145754 0.26141182 0.07287324
95,0.6729143 0.15250355 0.023502398 0.05469238 0.041820217 0.019029217 0.0008162173 0.011085414 0.28333998 0.03715196 0.12677766 0.5108103 0.0178112 0.00031251123 9.220052e-05 6.7937224e-05 0.031802386 0.05213988 0.064924695 0.12164063 0.1467318 0.19744208 0.25333112 0.10835114
96,0.63221717 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.62941146 0.0028056975 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0028056975 0.0063128197 0.048632093 0.4227251 0.15174147
100,0.7387587 0.10441554 0.024537312 0.054608714 0.0074241967 0.007883952 0.0018219933 0.008939686 0.2026329 0.08061043 0.05050497 0.16086328 0.38420218 0.06908249 0.00049381127 0.0 0.19037275 0.047763467 0.11951935 0.36007354 0.14810932 0.08234729 0.00017027975 3.405595e-05
101,0.73295754 0.17096604 0.013867281 0.007507459 0.00031878808 0.0033313353 0.0006694549 0.011587947 0.2187205 0.08836805 0.03870087 0.15893179 0.34483305 0.09044018 0.0012113947 0.0 0.18566217 0.048519544 0.10685776 0.35477924 0.2212708 0.024116317 0.0 0.0
110,0.71050996 0.18838695 0.00855859 0.0031467206 0.0016284585 0.0016407026 0.0003550774 0.005007816 0.19232953 0.037491277 0.027169544 0.06991352 0.43897364 0.15055282 0.0028038872 0.0 0.08503492 0.055845108 0.15453215 0.34415573 0.2046348 0.075031534 0.0 0.0
111,0.72483003 0.1644405 0.02427201 0.008201285 0.0036621343 0.003970275 0.00045035957 0.0059850416 0.20157146 0.037178367 0.026120855 0.07627669 0.41840774 0.17181218 0.00438508 5.925784e-05 0.08524833 0.072531596 0.17558098 0.33630008 0.16364644 0.10250421 0.0 0.0
120,0.77994734 0.0653317 0.0042184372 0.008792275 0.00040175594 0.0018851626 0.0005717296 0.0067834947 0.03676067 0.01766181 0.21413592 0.3820081 0.19771028 0.019052504 0.000509921 9.271291e-05 0.21050467 0.09873925 0.0728878 0.1382813 0.26211485 0.08466234 0.00074170326 0.0
121,0.77659404 0.07217954 0.0015400817 0.001445791 0.00022001167 0.0013829304 0.00061288965 0.0065217745 0.020869678 0.012226363 0.15865985 0.38679624 0.23659112 0.043829467 0.0013986456 0.00012572095 0.23409241 0.086417444 0.07365677 0.13499287 0.2594252 0.0718181 9.429071e-05 0.0
122,0.76216656 0.12507956 0.014340544 0.0015007546 0.000650327 0.0030515343 0.00056695176 0.005702867 0.12501286 0.016758427 0.14507294 0.38602743 0.20141794 0.037819017 0.0009171278 3.33501e-05 0.14473945 0.09184618 0.08385883 0.15769595 0.3158755 0.11904319 0.0 0.0
123,0.77774847 0.066821836 0.0014280714 0.0010710536 5.9502974e-05 0.0015322015 0.0008181659 0.007363493 0.028040776 0.017211234 0.1471806 0.41330767 0.22138081 0.028977947 0.0006991599 4.462723e-05 0.21483548 0.10067903 0.077264614 0.13441722 0.24388781 0.08575866 0.0 0.0
130,0.69910765 0.111657284 0.14441034 0.0021797786 0.0007328566 0.00054494466 5.637359e-05 0.0010898893 0.2172638 0.017814053 0.030592067 0.048011508 0.3195067 0.32407296 0.0024240643 9.395598e-05 0.08674016 0.056204468 0.19841623 0.36575183 0.07997533 0.17269109 0.0 0.0
131,0.75804025 0.07350788 0.0015726975 0.0011323423 0.00029881255 0.0016356055 0.00044035533 0.017173858 0.13888492 0.034001723 0.06094203 0.28476834 0.31886443 0.016198784 0.0001258158 1.5726975e-05 0.09985057 0.045183603 0.14432646 0.40078625 0.13482736 0.028827546 0.0 0.0
140,0.68299055 0.029166942 0.017255709 0.21165805 0.012019081 0.0033792432 0.00021569636 0.0030317323 0.24095681 0.022947697 0.024661284 0.15202999 0.45952913 0.05881321 0.0007669204 1.1983131e-05 0.05785456 0.078046136 0.1646003 0.29579163 0.16733246 0.19609196 0.0 0.0
141,0.7153323 0.034989595 0.081110395 0.114436395 0.011482863 0.0030296363 0.00014877679 0.003665319 0.22550504 0.027726583 0.022722272 0.17204006 0.43429297 0.07964968 0.0022316517 2.7050324e-05 0.062445674 0.077323355 0.19040723 0.28780192 0.20187658 0.14434053 0.0 0.0
150,0.7396456 0.015947832 0.0028186867 0.008882572 0.15220907 0.00076030364 0.000111263944 0.018414183 0.1896494 0.02401447 0.12875094 0.2816276 0.26831302 0.04437577 0.002058383 0.0 0.008826939 0.045748025 0.1109487 0.27866057 0.32752398 0.15178257 0.015298792 0.0
151,0.7671594 0.02540549 0.003415297 0.007316565 0.06769848 0.00091794546 0.00022948637 0.019465843 0.092307515 0.014781621 0.13161717 0.37982693 0.23438656 0.037919246 0.00075595506 1.3499198e-05 0.057655074 0.10320137 0.13643639 0.30208504 0.22536911 0.066713035 0.00014849118 0.0
152,0.78775615 0.020936834 0.0018740143 0.0029413337 0.0054979357 0.00042196346 0.000111696216 0.012981582 0.01797068 0.008650251 0.060328364 0.34587353 0.29574674 0.09922347 0.0045423126 0.00018616035 0.08116592 0.11898129 0.12792939 0.25031123 0.24051918 0.01331667 0.00029785658 0.0
